score,name,links
4.2,Shiting Bao,https://www.ratemyprofessors.com/professor/1931593
2.6,Lynne Clarke,https://www.ratemyprofessors.com/professor/1221433
4.1,Brad Messner,https://www.ratemyprofessors.com/professor/2929746
3.9,Tomas Matza,https://www.ratemyprofessors.com/professor/2109560
4.6,Jesse Schneider,https://www.ratemyprofessors.com/professor/3038797
4.7,Michal Cieslak,https://www.ratemyprofessors.com/professor/3070780
4.0,Michael Sawyer,https://www.ratemyprofessors.com/professor/2799572
4.6,Jake Dechant,https://www.ratemyprofessors.com/professor/353536
3.3,Gg Hegde,https://www.ratemyprofessors.com/professor/534006
2.7,Eleni Anastasiou,https://www.ratemyprofessors.com/professor/356911
3.2,Trevor Young-Hyman,https://www.ratemyprofessors.com/professor/2540787
3.7,Kaushik Mitra,https://www.ratemyprofessors.com/professor/2338830
2.2,Paul Scott,https://www.ratemyprofessors.com/professor/2351272
4.6,Mary Railing,https://www.ratemyprofessors.com/professor/2927738
4.7,Ruth Hofrichter,https://www.ratemyprofessors.com/professor/3060628
2.9,Narthana Jeganathar Kanmanii,https://www.ratemyprofessors.com/professor/2903073
1.4,Willa Doswell,https://www.ratemyprofessors.com/professor/894290
4.9,Kelvin Duran Berrios,https://www.ratemyprofessors.com/professor/2665005
4.6,Linda Kelly,https://www.ratemyprofessors.com/professor/2558652
4.9,Scott Gibbons,https://www.ratemyprofessors.com/professor/2972151
1.7,Radisav Vidic,https://www.ratemyprofessors.com/professor/2519107
4.5,Aaron Charlack,https://www.ratemyprofessors.com/professor/2882445
4.3,Julia Dos Santos,https://www.ratemyprofessors.com/professor/3038942
3.3,Candice Damiani,https://www.ratemyprofessors.com/professor/1762552
3.0,Margaret Vines,https://www.ratemyprofessors.com/professor/1859722
3.8,Margarita Zabelina,https://www.ratemyprofessors.com/professor/2200150
4.2,Ray Jones,https://www.ratemyprofessors.com/professor/130022
1.4,Tricia Shepherd,https://www.ratemyprofessors.com/professor/2918405
4.5,Kevin Shaver,https://www.ratemyprofessors.com/professor/2244274
2.2,Krista Foster,https://www.ratemyprofessors.com/professor/2880655
4.4,Heidi Bartholomew,https://www.ratemyprofessors.com/professor/2025202
4.9,Jane Richey,https://www.ratemyprofessors.com/professor/2482078
4.7,Burhan Gharaibeh,https://www.ratemyprofessors.com/professor/2129311
3.9,Nisha Nair,https://www.ratemyprofessors.com/professor/2132498
4.7,Marie Young,https://www.ratemyprofessors.com/professor/1201806
3.4,Dannie Chalk,https://www.ratemyprofessors.com/professor/2650195
4.6,Stephen Ellis,https://www.ratemyprofessors.com/professor/2343512
3.6,James Morgante,https://www.ratemyprofessors.com/professor/2787692
4.3,Laura Matthews,https://www.ratemyprofessors.com/professor/2927744
3.8,Marcie Warner,https://www.ratemyprofessors.com/professor/2115325
3.5,Yanbin Tu,https://www.ratemyprofessors.com/professor/3049589
5.0,Amy Kirk,https://www.ratemyprofessors.com/professor/2834510
4.8,Nick Rogers,https://www.ratemyprofessors.com/professor/2835305
4.0,Isaac King,https://www.ratemyprofessors.com/professor/2966788
4.7,Bridgette Nofsinger,https://www.ratemyprofessors.com/professor/2761968
5.0,Mark Serge,https://www.ratemyprofessors.com/professor/2084484
3.5,Alison Immormino,https://www.ratemyprofessors.com/professor/2947833
2.6,Paula Kupfer,https://www.ratemyprofessors.com/professor/2704939
1.9,Michelle Morgan,https://www.ratemyprofessors.com/professor/2246651
3.3,Kiersten Maryott,https://www.ratemyprofessors.com/professor/1348010
3.4,Kenneth Salzer,https://www.ratemyprofessors.com/professor/1609876
4.5,Robert Slammon,https://www.ratemyprofessors.com/professor/903486
4.3,Irene Mena,https://www.ratemyprofessors.com/professor/2250835
3.2,Anna Vainchtein,https://www.ratemyprofessors.com/professor/318528
4.8,Geoffrey Glover,https://www.ratemyprofessors.com/professor/1806476
4.3,Benjamin Brand,https://www.ratemyprofessors.com/professor/2437061
3.1,Horia Dijmarescu,https://www.ratemyprofessors.com/professor/2732633
4.9,Matthew Leavy,https://www.ratemyprofessors.com/professor/2294583
3.7,Rachel Maley,https://www.ratemyprofessors.com/professor/2184836
4.9,Cuilan Liu,https://www.ratemyprofessors.com/professor/2585537
3.6,William Layton,https://www.ratemyprofessors.com/professor/323432
4.7,Edward Strimlan,https://www.ratemyprofessors.com/professor/1902611
4.5,Amy Murray Twyning,https://www.ratemyprofessors.com/professor/466740
4.8,Christina Leckfor,https://www.ratemyprofessors.com/professor/3083463
5.0,Marie Cross,https://www.ratemyprofessors.com/professor/3063838
4.6,Mitchell Bober,https://www.ratemyprofessors.com/professor/2617845
4.4,Daniel McClymonds,https://www.ratemyprofessors.com/professor/2558441
4.9,Blake Gutt,https://www.ratemyprofessors.com/professor/2843156
4.4,Jian Qi Tan,https://www.ratemyprofessors.com/professor/3064764
4.8,Patrick McKelvey,https://www.ratemyprofessors.com/professor/2535848
5.0,Jaimie Gunderson,https://www.ratemyprofessors.com/professor/3098943
4.0,Amanda Evans,https://www.ratemyprofessors.com/professor/3102499
5.0,Alessandro Combina,https://www.ratemyprofessors.com/professor/2993875
3.5,Barbara Kucinski,https://www.ratemyprofessors.com/professor/1178279
4.0,Jennifer Ganger,https://www.ratemyprofessors.com/professor/131964
3.0,Linda O'Reilly,https://www.ratemyprofessors.com/professor/2273394
3.7,Mike Epitropoulos,https://www.ratemyprofessors.com/professor/93054
4.7,John Gareis,https://www.ratemyprofessors.com/professor/89106
4.5,Roxana-Irina Popescu,https://www.ratemyprofessors.com/professor/2439339
4.3,Ruth Mihalyi,https://www.ratemyprofessors.com/professor/2351899
4.6,Taylor Weidman,https://www.ratemyprofessors.com/professor/2724676
4.2,Jeff Aziz,https://www.ratemyprofessors.com/professor/906630
4.7,M. Mercedes Dollard,https://www.ratemyprofessors.com/professor/1841174
2.0,Michael Thompson,https://www.ratemyprofessors.com/professor/397814
4.5,Amy Murray Twyning,https://www.ratemyprofessors.com/professor/1088878
4.0,Danielle Spitzer,https://www.ratemyprofessors.com/professor/2953730
4.4,Karina Schumann,https://www.ratemyprofessors.com/professor/2246002
2.7,Song Yao,https://www.ratemyprofessors.com/professor/1673014
3.6,Gary Lind,https://www.ratemyprofessors.com/professor/2584902
4.0,John Newell,https://www.ratemyprofessors.com/professor/1383015
4.5,Jennifer Waldron,https://www.ratemyprofessors.com/professor/803759
4.4,Andrea Maxwell,https://www.ratemyprofessors.com/professor/2859291
3.4,Daniel Kaplan,https://www.ratemyprofessors.com/professor/3040748
3.4,Ryan Fitzgerald,https://www.ratemyprofessors.com/professor/2470664
3.7,Mike Kijowski,https://www.ratemyprofessors.com/professor/1193880
2.6,Yun-Oh Whang,https://www.ratemyprofessors.com/professor/1941689
4.0,Rajkumar Kubendran,https://www.ratemyprofessors.com/professor/2757490
3.3,Jason Deakings,https://www.ratemyprofessors.com/professor/3086556
4.4,John Ramirez,https://www.ratemyprofessors.com/professor/9338
3.5,Paul Klein,https://www.ratemyprofessors.com/professor/1378056
4.6,Kiran Nihlani,https://www.ratemyprofessors.com/professor/2653488
2.3,Gemma Marolda,https://www.ratemyprofessors.com/professor/2051039
3.1,Yuyang Pu,https://www.ratemyprofessors.com/professor/2955857
2.0,Yeon-Jung Seo,https://www.ratemyprofessors.com/professor/2576388
4.5,Stephanie Love,https://www.ratemyprofessors.com/professor/2990013
4.5,Mina Ameri,https://www.ratemyprofessors.com/professor/2547111
3.1,Leonora Anyango,https://www.ratemyprofessors.com/professor/2959365
4.0,Kate Stanton,https://www.ratemyprofessors.com/professor/2593752
3.7,Kathleen Cook,https://www.ratemyprofessors.com/professor/1894807
4.4,Lucas Riddle,https://www.ratemyprofessors.com/professor/3060602
3.8,Paul Leu,https://www.ratemyprofessors.com/professor/1751632
4.6,Christopher Bondi,https://www.ratemyprofessors.com/professor/2725453
4.3,Jacque Skowvron,https://www.ratemyprofessors.com/professor/2975647
5.0,Lidong Xiang,https://www.ratemyprofessors.com/professor/3003558
2.0,Carolyn  Mendelson,https://www.ratemyprofessors.com/professor/3098454
3.1,Russell Clark,https://www.ratemyprofessors.com/professor/92701
3.5,William Hawthorne,https://www.ratemyprofessors.com/professor/854168
4.0,Rebecca Bortz,https://www.ratemyprofessors.com/professor/525797
4.6,Guisepina Mecchia,https://www.ratemyprofessors.com/professor/545447
3.1,Aparna Nigam,https://www.ratemyprofessors.com/professor/2322806
2.0,Ahmed Elshahat,https://www.ratemyprofessors.com/professor/2589886
1.4,Zoe Soilis,https://www.ratemyprofessors.com/professor/2950268
4.6,Laura Ainsley,https://www.ratemyprofessors.com/professor/2932630
4.5,Kevin Kohl,https://www.ratemyprofessors.com/professor/2573963
1.0,Carty Brad,https://www.ratemyprofessors.com/professor/2978480
4.8,Melinda Ciccocioppo,https://www.ratemyprofessors.com/professor/2118162
3.8,Anthony Ocepek,https://www.ratemyprofessors.com/professor/2359194
3.9,Jennifer Hirsch,https://www.ratemyprofessors.com/professor/2829963
4.2,Michael Young,https://www.ratemyprofessors.com/professor/2776311
4.3,John Walsh,https://www.ratemyprofessors.com/professor/2154240
4.7,Sophia Choukas-Bradley,https://www.ratemyprofessors.com/professor/2579881
4.1,Alessandro Fascetti,https://www.ratemyprofessors.com/professor/2696624
4.0,Mostafa Moussa,https://www.ratemyprofessors.com/professor/3012310
4.5,Ogul Doygun,https://www.ratemyprofessors.com/professor/3098045
4.6,Erica McGreevy,https://www.ratemyprofessors.com/professor/1927298
2.6,Peter Bell,https://www.ratemyprofessors.com/professor/225480
3.8,Donald (Don) Bonidie,https://www.ratemyprofessors.com/professor/141380
3.9,Niraja  Kurapati,https://www.ratemyprofessors.com/professor/2891832
4.4,Young Ahn,https://www.ratemyprofessors.com/professor/2804547
4.6,Gretchen Bender,https://www.ratemyprofessors.com/professor/166882
3.9,Anne Yust,https://www.ratemyprofessors.com/professor/2666140
3.2,Alexandros Labrinidis,https://www.ratemyprofessors.com/professor/138892
1.9,Marina Barsky,https://www.ratemyprofessors.com/professor/2937628
3.5,Nadine von Frankenberg und Ludwigsdor,https://www.ratemyprofessors.com/professor/2936635
4.9,Dawn Bisi,https://www.ratemyprofessors.com/professor/2361982
4.1,Paulo Ferreira,https://www.ratemyprofessors.com/professor/2717007
5.0,Patrick Mullen Jr.,https://www.ratemyprofessors.com/professor/477261
4.8,Eryka  Wilson,https://www.ratemyprofessors.com/professor/2938535
